"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage"
"WINONA ISD","212910","Spring 2025","8","66","1868","16","24","50","76","38","58","10","15"
"WINTERS ISD","200904","Spring 2025","8","42","1773","19","45","23","55","9","21","1","2"
"WODEN ISD","174906","Spring 2025","8","70","1978","4","6","66","94","54","77","27","39"
"WOLFE CITY ISD","116909","Spring 2025","8","61","1900","16","26","45","74","38","62","10","16"
"WOODSBORO ISD","196902","Spring 2025","8","36","1751","23","64","13","36","4","11","1","3"
"WOODSON ISD","224902","Spring 2025","8","10","1764","5","50","5","50","1","10","0","0"
"WOODVILLE ISD","229903","Spring 2025","8","93","1787","44","47","49","53","26","28","4","4"
"WORTHAM ISD","081905","Spring 2025","8","39","1813","17","44","22","56","14","36","3","8"
"WYLIE ISD","043914","Spring 2025","8","1036","1906","165","16","871","84","636","61","254","25"
"WYLIE ISD","221912","Spring 2025","8","475","1948","45","9","430","91","342","72","154","32"
"YANTIS ISD","250905","Spring 2025","8","21","1854","6","29","15","71","9","43","4","19"
"YELLOWSTONE COLLEGE PREPARATORY","101873","Spring 2025","8","68","1778","37","54","31","46","16","24","4","6"
"YES PREP PUBLIC SCHOOLS INC","101845","Spring 2025","8","1536","1845","396","26","1140","74","673","44","150","10"
"YOAKUM ISD","062903","Spring 2025","8","69","1890","14","20","55","80","38","55","17","25"
"YORKTOWN ISD","062904","Spring 2025","8","43","1854","11","26","32","74","20","47","7","16"
"YSLETA ISD","071905","Spring 2025","8","2717","1890","508","19","2209","81","1571","58","544","20"
"ZAPATA COUNTY ISD","253901","Spring 2025","8","249","1845","88","35","161","65","104","42","41","16"
"ZAVALLA ISD","003906","Spring 2025","8","17","1710","12","71","5","29","2","12","0","0"
"ZEPHYR ISD","025906","Spring 2025","8","17","1821","6","35","11","65","6","35","3","18"
