"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage"
"AMBASSADORS PREPARATORY ACADEMY","084804","Spring 2025","8","12","2044","1","8","11","92","9","75","7","58"
"AMHERST ISD","140901","Spring 2025","8","9","1695","7","78","2","22","0","0","0","0"
"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","101819","Spring 2025","8","42","1981","2","5","40","95","36","86","19","45"
"ANAHUAC ISD","036901","Spring 2025","8","111","1847","38","34","73","66","53","48","19","17"
"ANDERSON-SHIRO CISD","093901","Spring 2025","8","82","1869","20","24","62","76","38","46","17","21"
"ANDREWS ISD","002901","Spring 2025","8","303","1920","43","14","260","86","203","67","84","28"
"ANGLETON ISD","020902","Spring 2025","8","360","1800","161","45","199","55","111","31","27","8"
"ANNA ISD","043902","Spring 2025","8","372","1765","196","53","176","47","59","16","15","4"
"ANSON ISD","127901","Spring 2025","8","54","1856","17","31","37","69","25","46","10","19"
"ANTHONY ISD","071906","Spring 2025","8","52","1970","1","2","51","98","45","87","18","35"
"ANTON ISD","110901","Spring 2025","8","11","1788","5","45","6","55","3","27","0","0"
"APPLE SPRINGS ISD","228905","Spring 2025","8","5","1779","2","40","3","60","1","20","0","0"
"AQUILLA ISD","109912","Spring 2025","8","33","1894","9","27","24","73","17","52","8","24"
"ARANSAS PASS ISD","205901","Spring 2025","8","96","1729","66","69","30","31","8","8","0","0"
"ARCHER CITY ISD","005901","Spring 2025","8","34","1922","5","15","29","85","26","76","9","26"
"ARGYLE ISD","061910","Spring 2025","8","490","1950","59","12","431","88","327","67","164","33"
"ARISTOI CLASSICAL ACADEMY","101803","Spring 2025","8","75","1796","27","36","48","64","18","24","1","1"
"ARLINGTON CLASSICS ACADEMY","220802","Spring 2025","8","3","","","","","","","","",""
"ARLINGTON ISD","220901","Spring 2025","8","2825","1797","1262","45","1563","55","792","28","187","7"
"ARP ISD","212901","Spring 2025","8","81","1818","21","26","60","74","30","37","3","4"
"ASPERMONT ISD","217901","Spring 2025","8","7","1894","1","14","6","86","5","71","0","0"
"ATHENS ISD","107901","Spring 2025","8","219","1809","94","43","125","57","68","31","20","9"
"ATLANTA ISD","034901","Spring 2025","8","110","1802","39","35","71","65","36","33","3","3"
"AUBREY ISD","061907","Spring 2025","8","306","1897","87","28","219","72","175","57","80","26"
"AUSTIN ACHIEVE PUBLIC SCHOOLS","227825","Spring 2025","8","13","1676","13","100","0","0","0","0","0","0"
"AUSTIN ISD","227901","Spring 2025","8","4983","1864","1644","33","3339","67","2332","47","1029","21"
"AUSTWELL-TIVOLI ISD","196901","Spring 2025","8","14","1782","6","43","8","57","2","14","0","0"
"AVALON ISD","070901","Spring 2025","8","16","1789","5","31","11","69","3","19","1","6"
"AVERY ISD","194902","Spring 2025","8","25","1893","2","8","23","92","15","60","4","16"
"AVINGER ISD","034902","Spring 2025","8","8","1815","3","38","5","63","2","25","1","13"
"AXTELL ISD","161918","Spring 2025","8","58","1772","29","50","29","50","10","17","2","3"
"AZLE ISD","220915","Spring 2025","8","544","1842","181","33","363","67","227","42","75","14"
"BAIRD ISD","030903","Spring 2025","8","16","1846","6","38","10","63","7","44","4","25"
"BAKERRIPLEY COMMUNITY SCHOOLS","101853","Spring 2025","8","39","1736","25","64","14","36","4","10","1","3"
"BALLINGER ISD","200901","Spring 2025","8","63","1813","29","46","34","54","22","35","3","5"
"BALMORHEA ISD","195902","Spring 2025","8","10","1982","0","0","10","100","9","90","3","30"
"BANDERA ISD","010902","Spring 2025","8","176","1898","41","23","135","77","95","54","38","22"
"BANGS ISD","025901","Spring 2025","8","36","1806","12","33","24","67","11","31","1","3"
"BANQUETE ISD","178913","Spring 2025","8","34","1810","15","44","19","56","14","41","1","3"
"BARBERS HILL ISD","036902","Spring 2025","8","376","1937","29","8","347","92","272","72","109","29"
"BARTLETT ISD","014902","Spring 2025","8","26","1738","18","69","8","31","3","12","0","0"
"BASIS TEXAS","015834","Spring 2025","8","358","2052","10","3","348","97","321","90","201","56"
"BASTROP ISD","011901","Spring 2025","8","917","1787","452","49","465","51","241","26","68","7"
"BAY CITY ISD","158901","Spring 2025","8","155","1821","48","31","107","69","61","39","9","6"
"BEATRICE MAYES INSTITUTE CHARTER SCHOOL","101847","Spring 2025","8","49","1921","9","18","40","82","31","63","18","37"
"BEAUMONT ISD","123910","Spring 2025","8","1175","1790","610","52","565","48","311","26","108","9"
"BECKVILLE ISD","183901","Spring 2025","8","34","1988","1","3","33","97","28","82","16","47"
"BEEVILLE ISD","013901","Spring 2025","8","219","1823","84","38","135","62","79","36","25","11"
"BELLEVUE ISD","039904","Spring 2025","8","7","1930","0","0","7","100","3","43","2","29"
"BELLS ISD","091901","Spring 2025","8","76","2010","5","7","71","93","63","83","40","53"
"BELLVILLE ISD","008901","Spring 2025","8","100","1819","39","39","61","61","33","33","10","10"
"BELTON ISD","014903","Spring 2025","8","1138","1854","319","28","819","72","521","46","157","14"
"BEN BOLT-PALITO BLANCO ISD","125902","Spring 2025","8","27","1717","20","74","7","26","2","7","0","0"
"BENAVIDES ISD","066901","Spring 2025","8","9","1794","3","33","6","67","2","22","1","11"
"BENJAMIN ISD","138904","Spring 2025","8","5","1785","3","60","2","40","2","40","0","0"
"BETA ACADEMY","101870","Spring 2025","8","84","1849","16","19","68","81","38","45","4","5"
"BEXAR COUNTY ACADEMY","015809","Spring 2025","8","2","","","","","","","","",""
"BIG SANDY ISD","187901","Spring 2025","8","40","1864","7","18","33","83","21","53","3","8"
"BIG SANDY ISD","230901","Spring 2025","8","37","1769","18","49","19","51","9","24","0","0"
"BIG SPRING ISD","114901","Spring 2025","8","227","1804","98","43","129","57","71","31","16","7"
"BIG SPRINGS CHARTER SCHOOL","193801","Spring 2025","8","10","1715","7","70","3","30","0","0","0","0"
"BIRDVILLE ISD","220902","Spring 2025","8","1100","1828","413","38","687","62","408","37","144","13"
"BISHOP CISD","178902","Spring 2025","8","80","1856","19","24","61","76","38","48","14","18"
"BLACKWELL CISD","177903","Spring 2025","8","8","1927","2","25","6","75","4","50","2","25"
"BLANCO ISD","016902","Spring 2025","8","94","1836","26","28","68","72","34","36","11","12"
"BLAND ISD","116915","Spring 2025","8","58","1835","15","26","43","74","21","36","7","12"
"BLANKET ISD","025904","Spring 2025","8","13","1723","10","77","3","23","3","23","0","0"
"BLOOMBURG ISD","034909","Spring 2025","8","18","1787","8","44","10","56","3","17","1","6"
"BLOOMING GROVE ISD","175902","Spring 2025","8","70","1842","18","26","52","74","31","44","7","10"
"BLOOMINGTON ISD","235901","Spring 2025","8","54","1856","12","22","42","78","26","48","6","11"
"BLUE RIDGE ISD","043917","Spring 2025","8","55","1751","30","55","25","45","6","11","0","0"
"BLUFF DALE ISD","072904","Spring 2025","8","21","1826","7","33","14","67","7","33","1","5"
"BLUM ISD","109913","Spring 2025","8","25","1826","6","24","19","76","8","32","2","8"
"BOERNE ISD","130901","Spring 2025","8","929","1939","130","14","799","86","632","68","274","29"
"BOLES ISD","116916","Spring 2025","8","45","1879","14","31","31","69","24","53","13","29"
"BOLING ISD","241901","Spring 2025","8","69","1843","14","20","55","80","30","43","4","6"
"BONHAM ISD","074903","Spring 2025","8","133","1814","40","30","93","70","49","37","7","5"
"BOOKER ISD","148901","Spring 2025","8","16","1792","3","19","13","81","1","6","0","0"
"BORDEN COUNTY ISD","017901","Spring 2025","8","13","1954","0","0","13","100","10","77","5","38"
"BORGER ISD","117901","Spring 2025","8","143","1909","16","11","127","89","98","69","22","15"
"BOSQUEVILLE ISD","161923","Spring 2025","8","57","1824","17","30","40","70","18","32","4","7"
"BOVINA ISD","185901","Spring 2025","8","16","1813","5","31","11","69","6","38","2","13"
"BOWIE ISD","169901","Spring 2025","8","111","1953","11","10","100","90","80","72","38","34"
"BOYD ISD","249902","Spring 2025","8","100","1840","33","33","67","67","39","39","12","12"
"BOYS RANCH ISD","180901","Spring 2025","8","11","1797","5","45","6","55","4","36","0","0"
"BRACKETT ISD","136901","Spring 2025","8","38","1820","12","32","26","68","17","45","2","5"
"BRADY ISD","160901","Spring 2025","8","74","1940","11","15","63","85","50","68","25","34"
"BRAZOS ISD","008903","Spring 2025","8","72","2009","3","4","69","96","57","79","38","53"
"BRAZOSPORT ISD","020905","Spring 2025","8","790","1876","184","23","606","77","435","55","139","18"
"BRECKENRIDGE ISD","215901","Spring 2025","8","91","1892","27","30","64","70","42","46","22","24"
"BREMOND ISD","198901","Spring 2025","8","52","1814","17","33","35","67","14","27","3","6"
"BRENHAM ISD","239901","Spring 2025","8","365","1829","134","37","231","63","149","41","44","12"
"BRIDGE CITY ISD","181901","Spring 2025","8","189","1774","90","48","99","52","40","21","1","1"
"BRIDGEPORT ISD","249903","Spring 2025","8","116","1808","43","37","73","63","36","31","3","3"
"BRIDGEWAY PREPARATORY ACADEMY","057851","Spring 2025","8","4","","","","","","","","",""
"BROADDUS ISD","203902","Spring 2025","8","25","1900","0","0","25","100","14","56","4","16"
"BROCK ISD","184909","Spring 2025","8","107","1881","20","19","87","81","67","63","15","14"
"BRONTE ISD","041901","Spring 2025","8","11","1776","5","45","6","55","2","18","0","0"
"BROOKELAND ISD","121902","Spring 2025","8","14","1918","2","14","12","86","8","57","2","14"
"BROOKESMITH ISD","025908","Spring 2025","8","25","1738","17","68","8","32","4","16","1","4"
"BROOKS COUNTY ISD","024901","Spring 2025","8","91","1882","19","21","72","79","44","48","15","16"
"BROWNFIELD ISD","223901","Spring 2025","8","99","1857","33","33","66","67","42","42","17","17"
"BROWNSBORO ISD","107902","Spring 2025","8","183","1907","38","21","145","79","107","58","43","23"
"BROWNSVILLE ISD","031901","Spring 2025","8","2445","1876","616","25","1829","75","1270","52","444","18"
"BROWNWOOD ISD","025902","Spring 2025","8","194","1839","63","32","131","68","81","42","26","13"
"BRUCEVILLE-EDDY ISD","161919","Spring 2025","8","31","1863","7","23","24","77","17","55","6","19"
"BRYAN ISD","021902","Spring 2025","8","807","1766","439","54","368","46","164","20","27","3"
"BRYSON ISD","119901","Spring 2025","8","25","1921","5","20","20","80","16","64","6","24"
"BUCKHOLTS ISD","166907","Spring 2025","8","4","","","","","","","","",""
"BUENA VISTA ISD","186901","Spring 2025","8","17","1886","6","35","11","65","9","53","5","29"
"BUFFALO ISD","145901","Spring 2025","8","48","1831","16","33","32","67","23","48","3","6"
"BULLARD ISD","212902","Spring 2025","8","174","1875","36","21","138","79","92","53","22","13"
"BUNA ISD","121903","Spring 2025","8","101","1839","27","27","74","73","39","39","13","13"
"BURKBURNETT ISD","243901","Spring 2025","8","273","1848","76","28","197","72","116","42","43","16"
"BURKEVILLE ISD","176901","Spring 2025","8","18","1769","9","50","9","50","3","17","0","0"
"BURLESON ISD","126902","Spring 2025","8","679","1820","272","40","407","60","231","34","81","12"
"BURNET CISD","027903","Spring 2025","8","229","1807","97","42","132","58","74","32","14","6"
"BURNHAM WOOD CHARTER SCHOOL DISTRICT","071801","Spring 2025","8","115","1762","63","55","52","45","15","13","2","2"
"BURTON ISD","239903","Spring 2025","8","18","1779","7","39","11","61","3","17","0","0"
"BUSHLAND ISD","188904","Spring 2025","8","57","1875","11","19","46","81","31","54","9","16"
"BYNUM ISD","109902","Spring 2025","8","11","1943","2","18","9","82","7","64","4","36"
"CADDO MILLS ISD","116901","Spring 2025","8","138","1819","41","30","97","70","49","36","5","4"
"CALALLEN ISD","178903","Spring 2025","8","304","1890","75","25","229","75","164","54","75","25"
"CALDWELL ISD","026901","Spring 2025","8","117","1833","31","26","86","74","51","44","8","7"
"CALHOUN COUNTY ISD","029901","Spring 2025","8","254","1827","97","38","157","62","93","37","27","11"
"CALLISBURG ISD","049905","Spring 2025","8","74","1836","21","28","53","72","26","35","9","12"
"CALVERT ISD","198902","Spring 2025","8","7","1762","3","43","4","57","1","14","0","0"
"CALVIN NELMS CHARTER SCHOOLS","101837","Spring 2025","8","30","1835","5","17","25","83","11","37","2","7"
"CAMERON ISD","166901","Spring 2025","8","99","1816","40","40","59","60","34","34","12","12"
"CAMPBELL ISD","116910","Spring 2025","8","24","1819","8","33","16","67","11","46","3","13"
"CANADIAN ISD","106901","Spring 2025","8","39","1907","6","15","33","85","26","67","8","21"
"CANTON ISD","234902","Spring 2025","8","183","1923","16","9","167","91","124","68","49","27"
"CANUTILLO ISD","071907","Spring 2025","8","459","1851","124","27","335","73","213","46","64","14"
"CANYON ISD","191901","Spring 2025","8","929","1927","101","11","828","89","647","70","237","26"
"CARLISLE ISD","201913","Spring 2025","8","38","1842","9","24","29","76","17","45","4","11"
"CARRIZO SPRINGS CISD","064903","Spring 2025","8","126","1891","25","20","101","80","78","62","21","17"
"CARROLL ISD","220919","Spring 2025","8","815","2127","28","3","787","97","750","92","586","72"
"CARROLLTON-FARMERS BRANCH ISD","057903","Spring 2025","8","1659","1880","449","27","1210","73","832","50","344","21"
"CARTHAGE ISD","183902","Spring 2025","8","122","1810","47","39","75","61","41","34","9","7"
"CASTLEBERRY ISD","220917","Spring 2025","8","320","1823","129","40","191","60","112","35","44","14"
"CAYUGA ISD","001902","Spring 2025","8","46","1994","3","7","43","93","36","78","19","41"
"CEDAR HILL ISD","057904","Spring 2025","8","436","1834","124","28","312","72","164","38","40","9"
"CEDARS INTERNATIONAL ACADEMY","227817","Spring 2025","8","28","1894","4","14","24","86","14","50","6","21"
"CELESTE ISD","116902","Spring 2025","8","34","1882","8","24","26","76","17","50","9","26"
"CELINA ISD","043903","Spring 2025","8","397","1890","72","18","325","82","215","54","86","22"
"CENTER ISD","210901","Spring 2025","8","165","1866","34","21","131","79","83","50","21","13"
"CENTER POINT ISD","133901","Spring 2025","8","27","1796","13","48","14","52","7","26","3","11"
"CENTERVILLE ISD","145902","Spring 2025","8","51","1821","16","31","35","69","20","39","3","6"
"CENTERVILLE ISD","228904","Spring 2025","8","16","1843","3","19","13","81","7","44","1","6"
"CENTRAL HEIGHTS ISD","174908","Spring 2025","8","68","1917","7","10","61","90","47","69","15","22"
"CENTRAL ISD","003907","Spring 2025","8","82","1816","34","41","48","59","29","35","6","7"
"CHANNELVIEW ISD","101905","Spring 2025","8","485","1790","197","41","288","59","126","26","14","3"
"CHANNING ISD","103901","Spring 2025","8","10","1853","2","20","8","80","6","60","1","10"
"CHAPARRAL STAR ACADEMY","227814","Spring 2025","8","30","2008","0","0","30","100","24","80","15","50"
"CHAPEL HILL ISD","225906","Spring 2025","8","46","1847","8","17","38","83","21","46","3","7"
"CHAPEL HILL ISD","212909","Spring 2025","8","231","1816","83","36","148","64","79","34","21","9"
"CHARLOTTE ISD","007901","Spring 2025","8","24","1775","10","42","14","58","5","21","1","4"
"CHEROKEE ISD","206903","Spring 2025","8","8","1814","2","25","6","75","4","50","1","13"
"CHESTER ISD","229906","Spring 2025","8","16","1838","2","13","14","88","6","38","2","13"
"CHICO ISD","249904","Spring 2025","8","44","1791","18","41","26","59","11","25","3","7"
"CHILDRESS ISD","038901","Spring 2025","8","73","1945","9","12","64","88","55","75","24","33"
"CHILLICOTHE ISD","099902","Spring 2025","8","13","1768","8","62","5","38","3","23","1","8"
"CHILTON ISD","073901","Spring 2025","8","41","1886","6","15","35","85","20","49","11","27"
"CHINA SPRING ISD","161920","Spring 2025","8","238","1897","34","14","204","86","141","59","41","17"
"CHIRENO ISD","174901","Spring 2025","8","21","1871","2","10","19","90","14","67","0","0"
"CHISUM ISD","139905","Spring 2025","8","69","1820","21","30","48","70","28","41","2","3"
"CHRISTOVAL ISD","226901","Spring 2025","8","47","1942","5","11","42","89","32","68","14","30"
"CISCO ISD","067902","Spring 2025","8","58","1925","8","14","50","86","36","62","18","31"
"CITY VIEW ISD","243906","Spring 2025","8","77","1828","15","19","62","81","31","40","2","3"
"CITYSCAPE SCHOOLS","057841","Spring 2025","8","65","1937","15","23","50","77","43","66","25","38"
"CLARENDON ISD","065901","Spring 2025","8","19","1998","3","16","16","84","13","68","10","53"
"CLARKSVILLE ISD","194904","Spring 2025","8","36","1865","8","22","28","78","17","47","6","17"
"CLAUDE ISD","006902","Spring 2025","8","22","2004","2","9","20","91","17","77","7","32"
"CLEAR CREEK ISD","084910","Spring 2025","8","1935","1840","508","26","1427","74","833","43","213","11"
"CLEBURNE ISD","126903","Spring 2025","8","415","1798","169","41","246","59","119","29","21","5"
"CLEVELAND ISD","146901","Spring 2025","8","957","1747","601","63","356","37","146","15","19","2"
"CLIFTON ISD","018901","Spring 2025","8","76","1855","18","24","58","76","31","41","10","13"
"CLINT ISD","071901","Spring 2025","8","748","1840","223","30","525","70","311","42","79","11"
"CLYDE CISD","030902","Spring 2025","8","82","1839","20","24","62","76","30","37","8","10"
"COAHOMA ISD","114902","Spring 2025","8","79","1903","8","10","71","90","44","56","15","19"
"COLDSPRING-OAKHURST CISD","204901","Spring 2025","8","85","1744","50","59","35","41","7","8","0","0"
"COLEMAN ISD","042901","Spring 2025","8","63","1929","9","14","54","86","36","57","15","24"
"COLLEGE STATION ISD","021901","Spring 2025","8","1228","1948","254","21","974","79","771","63","457","37"
"COLLINSVILLE ISD","091902","Spring 2025","8","27","1746","13","48","14","52","2","7","0","0"
"COLMESNEIL ISD","229901","Spring 2025","8","32","1804","13","41","19","59","9","28","3","9"
"COLORADO ISD","168901","Spring 2025","8","53","1918","9","17","44","83","30","57","13","25"
"COLUMBIA-BRAZORIA ISD","020907","Spring 2025","8","143","1739","90","63","53","37","18","13","3","2"
"COLUMBUS ISD","045902","Spring 2025","8","118","1805","55","47","63","53","39","33","10","8"
"COMAL ISD","046902","Spring 2025","8","2469","1939","353","14","2116","86","1681","68","813","33"
"COMANCHE ISD","047901","Spring 2025","8","136","1897","24","18","112","82","81","60","28","21"
"COMFORT ISD","130902","Spring 2025","8","39","1744","23","59","16","41","6","15","0","0"
"COMMERCE ISD","116903","Spring 2025","8","118","1834","30","25","88","75","52","44","7","6"
"COMMUNITY ISD","043918","Spring 2025","8","305","1781","147","48","158","52","77","25","10","3"
"COMO-PICKTON CISD","112908","Spring 2025","8","59","1825","21","36","38","64","22","37","7","12"
"COMPASS ACADEMY CHARTER SCHOOL","068802","Spring 2025","8","142","1875","23","16","119","84","71","50","22","15"
"COMPASS ROSE PUBLIC SCHOOLS","015838","Spring 2025","8","109","1746","66","61","43","39","11","10","1","1"
"COMQUEST ACADEMY","101842","Spring 2025","8","4","","","","","","","","",""
"COMSTOCK ISD","233903","Spring 2025","8","15","1795","5","33","10","67","4","27","1","7"
"CONNALLY ISD","161921","Spring 2025","8","179","1767","94","53","85","47","41","23","3","2"
"CONROE ISD","170902","Spring 2025","8","5696","1926","1147","20","4549","80","3448","61","1764","31"
"COOLIDGE ISD","147901","Spring 2025","8","24","1822","6","25","18","75","10","42","2","8"
"COOPER ISD","060902","Spring 2025","8","51","1921","8","16","43","84","34","67","12","24"
"COPPELL ISD","057922","Spring 2025","8","1088","2105","39","4","1049","96","949","87","718","66"
"COPPERAS COVE ISD","050910","Spring 2025","8","613","1815","232","38","381","62","209","34","53","9"
"CORPUS CHRISTI ISD","178904","Spring 2025","8","2472","1864","710","29","1762","71","1142","46","426","17"
"CORPUS CHRISTI MONTESSORI SCHOOL","178807","Spring 2025","8","4","","","","","","","","",""
"CORRIGAN-CAMDEN ISD","187904","Spring 2025","8","59","1866","12","20","47","80","29","49","14","24"
"CORSICANA ISD","175903","Spring 2025","8","328","1771","163","50","165","50","63","19","6","2"
"COTTON CENTER ISD","095902","Spring 2025","8","1","","","","","","","","",""
"COTULLA ISD","142901","Spring 2025","8","88","1837","28","32","60","68","29","33","10","11"
"COUPLAND ISD","246914","Spring 2025","8","20","1786","5","25","15","75","5","25","0","0"
"COVINGTON ISD","109903","Spring 2025","8","23","1741","14","61","9","39","2","9","0","0"
"CRANDALL ISD","129901","Spring 2025","8","544","1788","268","49","276","51","131","24","45","8"
"CRANE ISD","052901","Spring 2025","8","79","1854","26","33","53","67","37","47","15","19"
"CRANFILLS GAP ISD","018908","Spring 2025","8","9","2046","1","11","8","89","8","89","6","67"
"CRAWFORD ISD","161901","Spring 2025","8","28","1916","4","14","24","86","19","68","3","11"
"CROCKETT COUNTY CONSOLIDATED CSD","053001","Spring 2025","8","49","1982","1","2","48","98","41","84","18","37"
"CROCKETT ISD","113901","Spring 2025","8","85","1764","49","58","36","42","13","15","3","4"
"CROSBY ISD","101906","Spring 2025","8","578","1863","175","30","403","70","275","48","110","19"
"CROSBYTON CISD","054901","Spring 2025","8","21","1817","9","43","12","57","7","33","2","10"
"CROSS PLAINS ISD","030901","Spring 2025","8","22","1918","5","23","17","77","13","59","6","27"
"CROSS ROADS ISD","107904","Spring 2025","8","32","1985","0","0","32","100","27","84","14","44"
"CROWELL ISD","078901","Spring 2025","8","14","1932","2","14","12","86","10","71","5","36"
"CROWLEY ISD","220912","Spring 2025","8","1338","1773","711","53","627","47","301","22","47","4"
"CRYSTAL CITY ISD","254901","Spring 2025","8","79","1818","29","37","50","63","27","34","6","8"
"CUERO ISD","062901","Spring 2025","8","100","1756","57","57","43","43","14","14","0","0"
"CUMBERLAND ACADEMY","212801","Spring 2025","8","130","1783","61","47","69","53","29","22","4","3"
"CUMBY COLLEGIATE ISD","112905","Spring 2025","8","17","1749","9","53","8","47","1","6","0","0"
"CUSHING ISD","174902","Spring 2025","8","40","1822","11","28","29","73","15","38","2","5"
"CYPRESS-FAIRBANKS ISD","101907","Spring 2025","8","5311","1804","2147","40","3164","60","1608","30","344","6"
"D'HANIS ISD","163902","Spring 2025","8","12","1968","1","8","11","92","11","92","5","42"
"DAINGERFIELD-LONE STAR ISD","172902","Spring 2025","8","65","1807","25","38","40","62","19","29","4","6"
"DALHART ISD","056901","Spring 2025","8","124","1841","47","38","77","62","53","43","21","17"
"DALLAS ISD","057905","Spring 2025","8","10516","1838","3764","36","6752","64","4104","39","1397","13"
"DAMON ISD","020910","Spring 2025","8","8","1875","2","25","6","75","3","38","1","13"
"DANBURY ISD","020904","Spring 2025","8","30","1838","6","20","24","80","13","43","2","7"
"DARROUZETT ISD","148905","Spring 2025","8","6","1732","4","67","2","33","1","17","0","0"
"DAWSON ISD","175904","Spring 2025","8","48","1837","17","35","31","65","17","35","7","15"
"DAWSON ISD","058902","Spring 2025","8","10","1793","3","30","7","70","2","20","0","0"
"DAYTON ISD","146902","Spring 2025","8","328","1765","167","51","161","49","57","17","9","3"
"DE LEON ISD","047902","Spring 2025","8","48","1954","3","6","45","94","36","75","18","38"
"DECATUR ISD","249905","Spring 2025","8","272","1886","59","22","213","78","156","57","51","19"
"DEER PARK ISD","101908","Spring 2025","8","994","1936","177","18","817","82","658","66","338","34"
"DEKALB ISD","019901","Spring 2025","8","59","1829","15","25","44","75","27","46","5","8"
"DEL VALLE ISD","227910","Spring 2025","8","883","1761","495","56","388","44","164","19","31","4"
"DELL CITY ISD","115903","Spring 2025","8","4","","","","","","","","",""
"DENISON ISD","091903","Spring 2025","8","292","1780","146","50","146","50","65","22","11","4"
"DENTON ISD","061901","Spring 2025","8","2563","1846","815","32","1748","68","1107","43","363","14"
"DENVER CITY ISD","251901","Spring 2025","8","110","1918","21","19","89","81","71","65","31","28"
"DESOTO ISD","057906","Spring 2025","8","495","1816","187","38","308","62","173","35","39","8"
"DETROIT ISD","194905","Spring 2025","8","37","1879","4","11","33","89","22","59","5","14"
"DEVERS ISD","146903","Spring 2025","8","13","1915","2","15","11","85","9","69","2","15"
"DEVINE ISD","163901","Spring 2025","8","145","1896","29","20","116","80","90","62","33","23"
"DEW ISD","081906","Spring 2025","8","12","1853","5","42","7","58","7","58","2","17"
"DEWEYVILLE ISD","176903","Spring 2025","8","52","1773","22","42","30","58","14","27","1","2"
"DIBOLL ISD","003905","Spring 2025","8","106","1841","27","25","79","75","48","45","6","6"
"DICKINSON ISD","084901","Spring 2025","8","931","1857","237","25","694","75","414","44","137","15"
"DILLEY ISD","082902","Spring 2025","8","50","1900","10","20","40","80","29","58","12","24"
"DIME BOX ISD","144903","Spring 2025","8","9","1809","3","33","6","67","3","33","0","0"
"DIMMITT ISD","035901","Spring 2025","8","73","1875","17","23","56","77","38","52","15","21"
"DODD CITY ISD","074904","Spring 2025","8","28","1924","4","14","24","86","19","68","5","18"
"DONNA ISD","108902","Spring 2025","8","779","1854","184","24","595","76","383","49","83","11"
"DORAL ACADEMY OF TEXAS","105804","Spring 2025","8","11","1772","4","36","7","64","1","9","0","0"
"DOSS CONSOLIDATED CSD","086024","Spring 2025","8","1","","","","","","","","",""
"DOUGLASS ISD","174911","Spring 2025","8","41","1883","9","22","32","78","24","59","6","15"
"DR M L GARZA-GONZALEZ CHARTER SCHOOL","178801","Spring 2025","8","13","1835","5","38","8","62","6","46","3","23"
"DRAW ACADEMY","101856","Spring 2025","8","61","1809","26","43","35","57","21","34","4","7"
"DRIPPING SPRINGS ISD","105904","Spring 2025","8","695","1942","104","15","591","85","459","66","232","33"
"DRISCOLL ISD","178905","Spring 2025","8","14","1823","3","21","11","79","6","43","0","0"
"DUBLIN ISD","072902","Spring 2025","8","80","1816","22","28","58","73","26","33","5","6"
"DUMAS ISD","171901","Spring 2025","8","246","1774","118","48","128","52","51","21","4","2"
"DUNCANVILLE ISD","057907","Spring 2025","8","869","1794","407","47","462","53","233","27","59","7"
"EAGLE MT-SAGINAW ISD","220918","Spring 2025","8","1927","1861","593","31","1334","69","929","48","345","18"
"EAGLE PASS ISD","159901","Spring 2025","8","917","1848","310","34","607","66","374","41","134","15"
"EANES ISD","227909","Spring 2025","8","740","2065","27","4","713","96","657","89","450","61"
"EARLY ISD","025909","Spring 2025","8","54","1800","17","31","37","69","20","37","1","2"
"EAST BERNARD ISD","241902","Spring 2025","8","61","1897","8","13","53","87","38","62","11","18"
"EAST CENTRAL ISD","015911","Spring 2025","8","842","1763","473","56","369","44","157","19","40","5"
"EAST CHAMBERS ISD","036903","Spring 2025","8","141","1817","49","35","92","65","45","32","12","9"
"EASTLAND ISD","067903","Spring 2025","8","61","1855","10","16","51","84","36","59","3","5"
"ECTOR COUNTY ISD","068901","Spring 2025","8","2202","1819","756","34","1446","66","772","35","175","8"
"ECTOR ISD","074905","Spring 2025","8","16","1729","10","63","6","38","2","13","0","0"
"EDCOUCH-ELSA ISD","108903","Spring 2025","8","255","1784","115","45","140","55","51","20","7","3"
"EDEN CISD","048901","Spring 2025","8","19","1790","7","37","12","63","5","26","1","5"
"EDGEWOOD ISD","234903","Spring 2025","8","84","1869","21","25","63","75","44","52","14","17"
"EDGEWOOD ISD","015905","Spring 2025","8","349","1750","196","56","153","44","43","12","4","1"
"EDINBURG CISD","108904","Spring 2025","8","1863","1840","619","33","1244","67","826","44","237","13"
"EDNA ISD","120901","Spring 2025","8","99","1928","14","14","85","86","63","64","31","31"
"EHRHART SCHOOL","123805","Spring 2025","8","75","1943","4","5","71","95","55","73","21","28"
"EL CAMPO ISD","241903","Spring 2025","8","200","1760","103","52","97","49","29","15","0","0"
"EL PASO ISD","071902","Spring 2025","8","4329","1817","1690","39","2639","61","1421","33","423","10"
"EL PASO LEADERSHIP ACADEMY","071810","Spring 2025","8","33","1751","21","64","12","36","5","15","1","3"
"ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY","015836","Spring 2025","8","49","2002","3","6","46","94","37","76","23","47"
